País-sede,Total,(%),Membro da UE
BELGIUM,2270,18.2,True
GERMANY,1740,14.0,True
FRANCE,1165,9.3,True
UNITED KINGDOM,787,6.3,False
NETHERLANDS,786,6.3,True
SPAIN,780,6.3,True
ITALY,753,6.0,True
UNITED STATES,567,4.5,False
AUSTRIA,312,2.5,True
FINLAND,297,2.4,True
SWEDEN,293,2.4,True
SWITZERLAND,276,2.2,False
POLAND,251,2.0,True
DENMARK,224,1.8,True
IRELAND,209,1.7,True
PORTUGAL,177,1.4,True
GREECE,154,1.2,True
CZECH REPUBLIC,139,1.1,False
ROMANIA,120,1.0,True
NORWAY,105,0.8,False
HUNGARY,91,0.7,True
LUXEMBOURG,83,0.7,True
ESTONIA,67,0.5,True
CROATIA,66,0.5,True
LITHUANIA,62,0.5,True
SLOVENIA,57,0.5,True
SLOVAKIA,54,0.4,True
BULGARIA,52,0.4,True
CANADA,46,0.4,False
MALTA,42,0.3,True
LATVIA,31,0.2,True
UKRAINE,29,0.2,False
JAPAN,26,0.2,False
CYPRUS,24,0.2,True
BRAZIL,23,0.2,False
AUSTRALIA,20,0.2,False
TURKEY,20,0.2,False
ISRAEL,19,0.2,False
SERBIA,19,0.2,False
ALBANIA,11,0.1,False
SINGAPORE,10,0.1,False
UNITED ARAB EMIRATES,10,0.1,False
NEW ZEALAND,8,0.1,False
CHINA,8,0.1,False
INDIA,8,0.1,False
MOROCCO,7,0.1,False
SOUTH AFRICA,7,0.1,False
SENEGAL,6,0.0,False
MALAYSIA,6,0.0,False
MEXICO,6,0.0,False
NIGERIA,6,0.0,False
BOSNIA-HERZEGOVINA,6,0.0,False
LIECHTENSTEIN,5,0.0,False
"MOLDOVA, REPUBLIC OF",5,0.0,False
THAILAND,5,0.0,False
"KOREA, REPUBLIC OF",5,0.0,False
TAIWAN,4,0.0,False
LEBANON,4,0.0,False
ECUADOR,4,0.0,False
COLOMBIA,4,0.0,False
ICELAND,3,0.0,False
PALESTINIAN OCCUPIED TERRITORY,3,0.0,False
INDONESIA,3,0.0,False
KENYA,3,0.0,False
BERMUDA,3,0.0,False
JORDAN,3,0.0,False
GEORGIA,3,0.0,False
ARGENTINA,3,0.0,False
HONG KONG,3,0.0,False
"RUSSIA, FEDERATION OF",3,0.0,False
GHANA,3,0.0,False
MONACO,3,0.0,False
ZAMBIA,2,0.0,False
NIGER,2,0.0,False
MONTENEGRO,2,0.0,False
KAZAKHSTAN,2,0.0,False
PHILIPPINES,2,0.0,False
COSTA RICA,2,0.0,False
DOMINIQUE,2,0.0,False
URUGUAY,2,0.0,False
ARMENIA,2,0.0,False
TUNISIA,2,0.0,False
VENEZUELA,2,0.0,False
NORTH MACEDONIA,2,0.0,False
MAURITANIA,1,0.0,False
REUNION,1,0.0,False
GIBRALTAR,1,0.0,False
"CONGO, DEMOCRATIC REPUBLIC OF",1,0.0,False
QATAR,1,0.0,False
DOMINICAN REPUBLIC,1,0.0,False
CHILE,1,0.0,False
SRI LANKA,1,0.0,False
BOLIVIA,1,0.0,False
VIETNAM,1,0.0,False
OMAN,1,0.0,False
MACAO,1,0.0,False
MONGOLIA,1,0.0,False
COTE D'IVOIRE,1,0.0,False
ZIMBABWE,1,0.0,False
NAMIBIA,1,0.0,False
NEPAL,1,0.0,False
"LAOS, PEOPLE'S DEMOCRATIC REPUBLIC",1,0.0,False
BARBADOS,1,0.0,False
BURKINA FASO,1,0.0,False
KOSOVO,1,0.0,False
PAPUA NEW GUINEA,1,0.0,False
GABON,1,0.0,False
PAKISTAN,1,0.0,False
CAMEROON,1,0.0,False
FAROE ISLANDS,1,0.0,False
GUATEMALA,1,0.0,False
MYANMAR,1,0.0,False
CONGO,1,0.0,False
RUANDA,1,0.0,False
MALI,1,0.0,False
TRINIDAD AND TOBAGO,1,0.0,False
PARAGUAY,1,0.0,False
TOGO,1,0.0,False
CAMBODIA,1,0.0,False
"TANZANIA, UNITED RE UBLIC OF",1,0.0,False
UGANDA,1,0.0,False
